"id","dates","times","date_time","temp","ph","orp","do","sal","cond","lat","lon","spd","temp2","ph2","orp2","do2","scnt","created"
"14162784","2023-08-04","14:20:09","2023-08-04 14:20:09","27.8910","6.1520","80.6430","2.9390","0.0480","0.0950","22.4813","91.8809","27.9770","6.0560","190.5700","3.5670","7.0000","0","2023-09-09 01:13:01"
"14162783","2023-08-04","14:19:12","2023-08-04 14:19:12","27.8860","6.1540","80.2100","2.9480","0.0480","0.0950","22.4813","91.8809","28.0010","6.0480","188.8300","3.5540","7.0000","0","2023-09-09 01:13:01"
"14162782","1970-01-01",,"1970-01-01 00:00:00","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0","2023-09-09 01:13:01"
"14162781","2023-08-04","14:17:09","2023-08-04 14:17:09","27.8790","6.1550","78.4430","2.9410","0.0480","0.0940","22.4822","91.8811","27.9720","6.0320","187.9700","3.3580","5.0000","0","2023-09-09 01:13:01"
"14162780","2023-08-04","14:16:08","2023-08-04 14:16:08","27.8790","6.1510","77.6770","2.9400","0.0480","0.0950","22.4830","91.8814","27.9890","6.0310","186.7300","3.3960","8.0000","0","2023-09-09 01:13:01"
"14162779","2023-08-04","14:15:13","2023-08-04 14:15:13","27.8790","6.1480","77.0730","2.9490","0.0480","0.0950","22.4830","91.8814","27.9980","6.0290","188.0000","3.3860","8.0000","0","2023-09-09 01:13:01"
"14162778","2023-08-04","14:14:16","2023-08-04 14:14:16","27.8800","6.1420","76.4670","2.9480","0.0480","0.0940","22.4838","91.8817","28.0050","6.0280","188.1300","3.4140","7.0000","0","2023-09-09 01:13:01"
"14162777","2023-08-04","14:13:08","2023-08-04 14:13:08","27.8790","6.1440","75.7380","2.9800","0.0470","0.0940","22.4838","91.8817","27.9810","6.0240","188.4300","3.4400","7.0000","0","2023-09-09 01:13:01"
"14162776","2023-08-04","14:12:07","2023-08-04 14:12:07","27.8650","6.1340","76.1980","2.9810","0.0470","0.0930","22.4847","91.8819","27.9540","6.0170","188.4400","3.4490","7.0000","0","2023-09-09 01:13:01"
"14162775","2023-08-04","14:11:12","2023-08-04 14:11:12","27.8700","6.1250","76.3420","3.0110","0.0470","0.0930","22.4847","91.8819","27.9630","6.0080","188.7300","3.4550","7.0000","0","2023-09-09 01:13:01"
"14162774","2023-08-04","14:10:09","2023-08-04 14:10:09","27.8260","6.1190","76.0230","2.9740","0.0460","0.0910","22.4851","91.8806","27.9260","5.9960","189.9300","3.4380","8.0000","0","2023-09-09 01:13:01"
"14162773","2023-08-04","14:09:08","2023-08-04 14:09:08","27.7720","6.1110","75.5300","2.9500","0.0450","0.0890","22.4851","91.8806","27.8160","5.9840","190.6000","3.3480","8.0000","0","2023-09-09 01:13:01"
"14162772","2023-08-04","14:08:08","2023-08-04 14:08:08","27.7790","6.1070","75.4570","2.9750","0.0450","0.0880","22.4852","91.8797","27.8140","5.9840","187.1500","3.3500","8.0000","0","2023-09-09 01:13:01"
"14162771","2023-08-04","14:07:09","2023-08-04 14:07:09","27.7870","6.1030","75.3820","2.9620","0.0450","0.0890","22.4855","91.8787","27.8180","5.9870","187.8000","3.3750","8.0000","0","2023-09-09 01:13:01"
"14162770","2023-08-04","14:06:09","2023-08-04 14:06:09","27.7940","6.1140","74.9970","2.9800","0.0450","0.0900","22.4856","91.8779","27.8310","5.9910","187.3200","3.3850","8.0000","0","2023-09-09 01:13:01"
"14162769","2023-08-04","14:05:08","2023-08-04 14:05:08","27.8070","6.1140","74.8310","2.9970","0.0460","0.0900","22.4859","91.8772","27.8420","5.9920","187.3700","3.3780","8.0000","0","2023-09-09 01:13:01"
"14162768","2023-08-04","14:04:09","2023-08-04 14:04:09","27.8020","6.1180","73.9140","3.0010","0.0460","0.0910","22.4862","91.8768","27.8470","5.9890","186.7300","3.4250","8.0000","0","2023-09-09 01:13:01"
"14162767","2023-08-04","14:03:09","2023-08-04 14:03:09","27.8000","6.1010","74.1690","2.9900","0.0460","0.0910","22.4865","91.8763","27.8480","5.9860","186.6000","3.4550","8.0000","0","2023-09-09 01:13:01"
"14162766","2023-08-04","14:02:16","2023-08-04 14:02:16","27.7880","6.0920","73.9830","3.0040","0.0460","0.0900","22.4870","91.8761","27.8270","5.9790","188.0400","3.4530","7.0000","0","2023-09-09 01:13:01"
"14162765","2023-08-04","14:01:09","2023-08-04 14:01:09","27.7930","6.1060","72.2620","2.9920","0.0450","0.0890","22.4882","91.8762","27.8180","5.9770","187.6500","3.3860","8.0000","0","2023-09-09 01:13:01"
"14162764","2023-08-04","14:00:09","2023-08-04 14:00:09","27.7670","6.0710","74.0210","2.9590","0.0450","0.0890","22.4888","91.8764","27.7950","5.9740","188.2600","3.3680","7.0000","0","2023-09-09 01:13:01"
"14162763","2023-08-04","13:59:09","2023-08-04 13:59:09","27.7810","6.0730","73.6250","2.9780","0.0450","0.0880","22.4896","91.8767","27.8090","5.9770","188.4900","3.3830","7.0000","0","2023-09-09 01:13:01"
"14162762","2023-08-04","13:58:09","2023-08-04 13:58:09","27.7730","6.0500","74.2350","2.9910","0.0450","0.0880","22.4902","91.8768","27.8020","5.9730","189.5700","3.3880","7.0000","0","2023-09-09 01:13:01"
"14162761","2023-08-04","13:57:09","2023-08-04 13:57:09","27.7820","6.0620","73.0420","2.9940","0.0450","0.0880","22.4910","91.8768","27.8140","5.9750","187.2900","3.4490","7.0000","0","2023-09-09 01:13:01"
"14162760","2023-08-04","13:56:09","2023-08-04 13:56:09","27.7740","6.0460","73.6690","3.0000","0.0440","0.0870","22.4921","91.8765","27.8060","5.9700","187.2200","3.4230","7.0000","0","2023-09-09 01:13:01"
"14162759","2023-08-04","13:55:10","2023-08-04 13:55:10","27.7620","6.0220","75.5720","2.9580","0.0440","0.0870","22.4921","91.8765","27.7890","5.9660","187.5500","3.3690","7.0000","0","2023-09-09 01:13:01"
"14162758","2023-08-04","13:54:10","2023-08-04 13:54:10","27.7650","6.0430","74.0960","2.9720","0.0440","0.0870","22.4933","91.8768","27.7910","5.9770","185.7100","3.3900","7.0000","0","2023-09-09 01:13:01"
"14162757","2023-08-04","13:53:12","2023-08-04 13:53:12","27.7660","6.0370","73.8990","2.9790","0.0440","0.0870","22.4933","91.8768","27.7990","5.9770","186.7900","3.3970","7.0000","0","2023-09-09 01:13:01"
"14162756","2023-08-04","13:52:09","2023-08-04 13:52:09","27.7520","6.0250","74.5390","2.9340","0.0440","0.0860","22.4945","91.8763","27.7860","5.9750","187.2400","3.4210","8.0000","0","2023-09-09 01:13:01"
"14162755","2023-08-04","13:51:09","2023-08-04 13:51:09","27.7610","5.9820","76.4890","2.9440","0.0440","0.0860","22.4945","91.8763","27.7870","5.9720","186.7900","3.3490","8.0000","0","2023-09-09 01:13:01"
"14162754","2023-08-04","13:50:09","2023-08-04 13:50:09","27.7570","6.0180","74.0300","2.9400","0.0440","0.0860","27.7850","5.9660","186.0100","3.3230","0.0000","0.0000","0.0000","0","2023-09-09 01:13:01"
"14162753","2023-08-04","13:48:09","2023-08-04 13:48:09","27.7630","6.1530","72.3260","2.9350","0.0260","0.0510","27.7920","5.9770","186.6100","3.3290","0.0000","0.0000","0.0000","0","2023-09-09 01:13:01"
"14162752","2023-08-04","13:23:09","2023-08-04 13:23:09","27.6300","7.0810","142.1900","6.1090","0.0000","0.0000","22.4991","91.8735","27.7950","6.4490","143.7600","7.0800","7.0000","0","2023-09-09 01:13:01"
"14162751","2023-08-04","13:22:10","2023-08-04 13:22:10","27.5870","7.1210","141.2300","6.0950","0.0000","0.0000","22.4997","91.8731","27.6470","6.4500","148.1500","7.0290","9.0000","0","2023-09-09 01:13:01"
"14162750","2023-08-04","13:21:09","2023-08-04 13:21:09","27.6080","7.0870","135.0300","6.1190","0.0000","0.0000","22.5016","91.8723","27.9670","6.4860","143.0600","7.0490","9.0000","0","2023-09-09 01:13:01"
"14162749","2023-08-04","13:20:09","2023-08-04 13:20:09","27.7170","7.2160","126.2100","6.1120","0.0000","0.0000","22.5024","91.8729","28.2030","6.5300","142.4600","7.0860","9.0000","0","2023-09-09 01:13:01"
"14162748","2023-08-04","13:17:08","2023-08-04 13:17:08","27.6130","7.2040","121.2100","6.1170","0.0000","0.0000","22.5023","91.8728","27.9240","6.5050","136.2900","7.1520","9.0000","0","2023-09-09 01:13:01"
"14162747","2023-08-04","13:16:09","2023-08-04 13:16:09","27.5670","7.1840","119.9900","6.1140","0.0000","0.0000","22.5023","91.8729","27.7650","6.4800","140.6800","7.1670","9.0000","0","2023-09-09 01:13:01"
"14162746","2023-08-04","13:14:10","2023-08-04 13:14:10","27.5180","7.1950","114.0600","6.1340","0.0000","0.0000","22.5024","91.8729","27.4750","6.4010","148.3300","7.1330","9.0000","0","2023-09-09 01:13:01"
